영양소,단위,AAFCO,NIAS최소,FEDIAF_min,FEDIAF_max
단백질,g,56.3,50.0,50.0,62.5
아르지닌,g,2.5,1.84,1.84,2.04
히스티딘,g,1.1,0.63,0.63,0.98
이소루신,g,1.78,1.25,1.25,1.63
류신,g,3.23,2.0,2.0,3.23
라이신,g,2.25,1.75,1.75,2.2
메치오닌,g,0.88,0.65,0.65,0.88
메치오닌+시스틴,g,1.75,1.33,1.33,1.75
페닐알라닌,g,2.08,1.25,1.25,1.63
페닐알라닌+티로신,g,3.25,2.5,2.5,3.25
트레오닌,g,2.6,1.6,1.6,2.03
트립토판,g,0.5,0.5,0.53,0.58
발린,g,1.7,1.4,1.4,1.7
지방,g,21.3,21.25,21.25,
칼슘,g,3.0,2.0,2.0,2.5
인,g,2.5,1.75,1.75,2.25
칼륨,g,1.5,1.1,1.1,
나트륨,g,0.8,0.55,0.55,
염소,g,1.1,0.83,0.83,
마그네슘,g,0.15,0.1,0.1,
구리,mg,3.1,2.75,2.75,
요오드,mg,0.25,0.25,0.38,
철,mg,22.0,22.0,22.0,
망간,mg,1.8,1.4,1.4,
셀레늄,㎍,90.0,90.0,100.0,
아연,mg,25.0,25.0,25.0,
비타민 A,IU,1250.0,1250.0,1250.0,
비타민 D,IU,125.0,125.0,125.0,138.0
비타민 E,IU,12.5,12.5,12.5,
비타민 B1 (티아민),mg,0.56,0.45,0.45,
비타민 B2 (리보플라빈),mg,1.3,1.05,1.05,
비타민 B5 (판토텐산),mg,3.0,3.0,3.0,
비타민 B6 (피리독신),mg,0.38,0.3,0.3,
비타민 B12 (시아노코발아민),㎍,7.0,7.0,7.0,
비타민 B3 (니아신),mg,3.4,3.4,3.4,
비타민 B9 (엽산),㎍,54.0,54.0,54.0,
콜린,mg,340.0,340.0,425.0,
